,target,state_var,dataset,test_score,train_mean,train_std,cv_mean,cv_std,strategy
0,input_air_temperature,state__An,NEMA_H0,-0.3752798022146208,-0.24637858999095694,0.010421786881827615,-2.280239489263403,4.9501828468892635,LeaveOneOut
1,input_air_temperature,state__An,NEMA_H3,-0.569716922432783,-0.22044787859777262,0.004907701746026155,-1.934819015628747,4.035310377083461,LeaveOneOut
2,input_air_temperature,state__An,NEMA_H15,-0.26378492953099086,-0.2762132553571362,0.007148847696674136,-2.329922124671526,4.2436324690748455,LeaveOneOut
3,input_air_temperature,state__An,combined,-0.27460424145321555,-0.2694765097739858,0.005452908994507163,-1.9953115391708263,3.7824532830650086,LeaveOneOut
4,input_air_temperature,state__Transpiration,NEMA_H0,-0.4222562638791799,-0.271428848211017,0.01998622325692415,-3.098224259934693,5.63623874459094,LeaveOneOut
5,input_air_temperature,state__Transpiration,NEMA_H3,-0.3686730940651053,-0.2697299049737505,0.011745916822472821,-2.7317123214585455,5.3842264810510345,LeaveOneOut
6,input_air_temperature,state__Transpiration,NEMA_H15,-0.32711475246283855,-0.29465811327173563,0.013088977903676217,-2.734401913699923,5.623409056827871,LeaveOneOut
7,input_air_temperature,state__Transpiration,combined,-0.37119009366769024,-0.27865887550189034,0.010880176866553942,-2.4106285456878798,4.641627711206117,LeaveOneOut
8,input_air_temperature,state__S_Sucrose,NEMA_H0,-0.7710909026513011,-0.6582863352365624,0.03772712178167998,-5.017351017359085,9.432364721352783,LeaveOneOut
9,input_air_temperature,state__S_Sucrose,NEMA_H3,-0.5718553263341323,-0.597281592739948,0.01950395193716889,-5.528938470915039,10.26527956158388,LeaveOneOut
10,input_air_temperature,state__S_Sucrose,NEMA_H15,-0.7243381672847741,-0.6198281034401785,0.019766087750075958,-5.221124358545073,10.419211876206248,LeaveOneOut
11,input_air_temperature,state__S_Sucrose,combined,-0.7386877264319912,-0.6760272609545016,0.021544261896560935,-4.93589065964302,10.137498161793078,LeaveOneOut
12,input_air_temperature,state__Ts,NEMA_H0,-0.06395200860942933,-0.04891852998514679,0.004555840289554449,-0.20061494226278864,0.11549991353047401,LeaveOneOut
13,input_air_temperature,state__Ts,NEMA_H3,-0.04922903842232117,-0.04252020448972906,0.003406579469649445,-0.18886732465668576,0.12578850032039257,LeaveOneOut
14,input_air_temperature,state__Ts,NEMA_H15,-0.04823029599107291,-0.04254991826202892,0.003030375465884614,-0.18687266432908733,0.13455030468771412,LeaveOneOut
15,input_air_temperature,state__Ts,combined,-0.05255672600200166,-0.044280258558550147,0.0033309449690157957,-0.1779348004789636,0.11876245026587998,LeaveOneOut
16,input_air_temperature,state__gs,NEMA_H0,-0.49610361359028227,-0.4030794585069508,0.01231709335316556,-3.5753665364041547,6.233614080187861,LeaveOneOut
17,input_air_temperature,state__gs,NEMA_H3,-0.437479717969513,-0.37619994049522687,0.01608700878533525,-3.1513334275236637,5.876077005132267,LeaveOneOut
18,input_air_temperature,state__gs,NEMA_H15,-0.4946766143062087,-0.3624317439530336,0.012863041736523475,-2.813878615240726,4.925462549964596,LeaveOneOut
19,input_air_temperature,state__gs,combined,-0.5175264048804007,-0.4152609680258023,0.011546967360421016,-2.9745045843308198,5.602103556223297,LeaveOneOut
20,input_air_temperature,state__Ag,NEMA_H0,-0.793779985856874,-0.40680936425054487,0.016555687485879943,-3.823242881178341,7.705414896804667,LeaveOneOut
21,input_air_temperature,state__Ag,NEMA_H3,-0.5449138880546675,-0.41775186390637575,0.013038422126862952,-3.588267887936599,6.561836285893664,LeaveOneOut
22,input_air_temperature,state__Ag,NEMA_H15,-0.48297564351000744,-0.4846203590873265,0.012440035459702646,-4.0930146099600515,7.365178001229721,LeaveOneOut
23,input_air_temperature,state__Ag,combined,-0.4984270054957948,-0.48149141403991597,0.013679330520220315,-3.9321957761799706,7.150972408237491,LeaveOneOut
24,input_air_temperature,state__Tr,NEMA_H0,-0.22218922926179072,-0.21362124866206644,0.014632970567967373,-2.3639973409064523,4.269452891291027,LeaveOneOut
25,input_air_temperature,state__Tr,NEMA_H3,-0.2013247135696244,-0.21150128696369708,0.009188901063675538,-2.2322714197838938,4.40986347676398,LeaveOneOut
26,input_air_temperature,state__Tr,NEMA_H15,-0.25401732895521834,-0.2075967727276381,0.008682003636519971,-1.9884819899784503,4.036309159728097,LeaveOneOut
27,input_air_temperature,state__Tr,combined,-0.2234683693489096,-0.2105155961249826,0.009298799869254464,-1.9389563464570727,3.8774141819088292,LeaveOneOut
28,input_air_temperature,state__sucrose,NEMA_H0,-1.020536856167501,-0.7883596831654389,0.031186134134738724,-6.352003423870915,13.258406559676558,LeaveOneOut
29,input_air_temperature,state__sucrose,NEMA_H3,-0.6794108761473022,-0.64111120249962,0.03320581873883261,-6.746491489112078,14.593528667491826,LeaveOneOut
30,input_air_temperature,state__sucrose,NEMA_H15,-0.7461455095414277,-0.6477101220849792,0.0295190012731441,-6.41092172434133,13.859715976694082,LeaveOneOut
31,input_air_temperature,state__sucrose,combined,-0.9005325890678563,-0.7615438938150376,0.02044336250291206,-6.196847900344868,13.653147109283593,LeaveOneOut
32,input_air_temperature,state__Rd,NEMA_H0,-0.06635451187629747,-0.06255580462495822,0.0019915910087809916,-0.5951107190585277,1.3646911816791159,LeaveOneOut
