time,Tac,u,hs,Rg
2012-01-01 00:00:00,14.7,3.146,58.36,0.0
2012-01-01 01:00:00,14.3,2.883,61.21,0.0
2012-01-01 02:00:00,14.5,2.444,57.69,0.0
2012-01-01 03:00:00,14.7,2.228,57.35,0.0
2012-01-01 04:00:00,13.28,1.803,64.67,0.0
2012-01-01 05:00:00,12.94,2.176,68.12,0.0
2012-01-01 06:00:00,12.54,1.296,66.84,0.0
2012-01-01 07:00:00,12.95,2.352,65.29,0.0
2012-01-01 08:00:00,13.22,2.449,64.34,16.0361111111
2012-01-01 09:00:00,13.08,2.504,64.87,59.5
2012-01-01 10:00:00,15.45,2.754,56.33,237.7777777778
2012-01-01 11:00:00,16.31,2.883,53.81,300.0
2012-01-01 12:00:00,18.67,2.757,51.42,393.3333333333
2012-01-01 13:00:00,18.26,3.096,54.87,336.3888888889
2012-01-01 14:00:00,18.65,2.308,53.57,286.6666666667
2012-01-01 15:00:00,18.58,1.538,50.73,175.8333333333
2012-01-01 16:00:00,15.61,1.307,55.0,61.8333333333
2012-01-01 17:00:00,13.87,0.781,61.59,0.8388888889
2012-01-01 18:00:00,12.33,0.319,65.41,0.0
2012-01-01 19:00:00,11.12,0.056,72.4,0.0
2012-01-01 20:00:00,10.65,0.159,73.2,0.0
2012-01-01 21:00:00,9.43,0.0,77.8,0.0
2012-01-01 22:00:00,8.7,0.0,79.9,0.0
2012-01-01 23:00:00,8.09,0.0,81.5,0.0
2012-01-02 00:00:00,7.75,0.0,81.9,0.0
2012-01-02 01:00:00,10.19,0.029,87.6,0.8166666667
2012-01-02 02:00:00,10.66,0.075,83.2,0.6194444444
2012-01-02 03:00:00,11.06,0.292,81.8,0.6861111111
2012-01-02 04:00:00,10.58,0.72,83.5,0.0
2012-01-02 05:00:00,10.52,0.682,81.6,0.0
2012-01-02 06:00:00,10.58,0.765,81.2,0.0
2012-01-02 07:00:00,10.38,0.777,82.0,0.0
2012-01-02 08:00:00,10.38,0.839,82.2,2.8944444444
2012-01-02 09:00:00,10.92,0.655,80.9,17.6333333333
2012-01-02 10:00:00,11.33,0.981,78.7,43.2777777778
2012-01-02 11:00:00,11.33,1.756,65.16,64.6388888889
2012-01-02 12:00:00,11.33,2.075,62.18,85.6388888889
2012-01-02 13:00:00,12.48,1.982,52.21,173.3611111111
2012-01-02 14:00:00,12.53,2.729,47.72,229.1666666667
2012-01-02 15:00:00,12.26,2.297,48.26,104.5555555556
2012-01-02 16:00:00,11.72,2.743,44.81,75.4166666667
2012-01-02 17:00:00,10.78,2.613,46.44,0.3305555556
2012-01-02 18:00:00,9.91,2.307,50.86,0.0
2012-01-02 19:00:00,10.38,2.119,51.26,0.0
2012-01-02 20:00:00,9.78,2.883,47.0,0.0
2012-01-02 21:00:00,9.58,2.417,53.58,0.0
2012-01-02 22:00:00,9.72,2.488,46.74,0.0
2012-01-02 23:00:00,9.79,3.463,45.92,0.0
2012-01-03 00:00:00,9.65,4.213,45.65,0.0
2012-01-03 01:00:00,8.43,2.255,44.16,0.0
2012-01-03 02:00:00,8.91,2.239,50.19,0.0
2012-01-03 03:00:00,8.77,1.455,52.23,0.0
2012-01-03 04:00:00,8.77,1.447,51.96,0.0
2012-01-03 05:00:00,7.02,0.805,57.19,0.0
2012-01-03 06:00:00,5.53,0.333,67.79,0.0
2012-01-03 07:00:00,4.855,0.067,70.4,0.0
2012-01-03 08:00:00,6.283,0.599,61.35,15.7888888889
2012-01-03 09:00:00,8.79,0.452,52.79,84.8611111111
2012-01-03 10:00:00,11.83,0.396,44.84,270.0
2012-01-03 11:00:00,12.82,0.897,42.58,351.6666666667
2012-01-03 12:00:00,12.94,3.041,42.02,361.9444444444
2012-01-03 13:00:00,14.22,2.232,45.27,256.6666666667
2012-01-03 14:00:00,14.28,2.074,41.34,283.6111111111
2012-01-03 15:00:00,13.8,2.221,44.86,171.8333333333
2012-01-03 16:00:00,12.86,2.398,48.59,63.4444444444
2012-01-03 17:00:00,11.65,1.577,52.67,1.0805555556
2012-01-03 18:00:00,11.8,1.268,50.58,0.0
2012-01-03 19:00:00,9.77,1.18,58.45,0.0
2012-01-03 20:00:00,9.3,0.823,62.39,0.0
2012-01-03 21:00:00,9.31,1.097,64.03,0.0
2012-01-03 22:00:00,8.43,0.612,70.7,0.0
2012-01-03 23:00:00,9.45,0.597,64.71,0.0
2012-01-04 00:00:00,10.26,0.953,62.0,0.0
2012-01-04 01:00:00,9.72,1.111,64.71,0.0
2012-01-04 02:00:00,9.38,1.058,65.05,0.0
2012-01-04 03:00:00,7.96,0.354,70.3,0.0
2012-01-04 04:00:00,7.96,0.194,76.6,0.0
2012-01-04 05:00:00,8.91,1.037,66.68,0.0
2012-01-04 06:00:00,8.3,0.821,70.3,0.0
2012-01-04 07:00:00,12.43,1.237,58.54,1.1722222222
2012-01-04 08:00:00,13.09,3.106,51.74,10.7833333333
2012-01-04 09:00:00,13.16,3.189,44.48,31.6666666667
2012-01-04 10:00:00,14.3,2.843,31.79,274.7222222222
2012-01-04 11:00:00,14.29,2.553,29.28,372.7777777778
2012-01-04 12:00:00,14.82,2.305,31.85,409.1666666667
2012-01-04 13:00:00,13.6,3.162,34.97,325.8333333333
2012-01-04 14:00:00,13.8,3.005,32.05,311.6666666667
2012-01-04 15:00:00,13.46,2.941,31.85,206.6666666667
2012-01-04 16:00:00,11.85,2.851,37.07,67.4444444444
2012-01-04 17:00:00,11.18,2.929,38.91,1.125
2012-01-04 18:00:00,10.86,2.141,40.41,0.0
2012-01-04 19:00:00,10.52,1.877,42.11,0.0
2012-01-04 20:00:00,10.32,2.403,42.99,0.0
2012-01-04 21:00:00,10.39,2.315,40.35,0.0
2012-01-04 22:00:00,10.19,2.407,44.29,0.0
2012-01-04 23:00:00,9.31,2.226,47.89,0.0
2012-01-05 00:00:00,9.65,1.847,46.26,0.0
2012-01-05 01:00:00,10.47,2.23,47.89,0.0
2012-01-05 02:00:00,10.32,2.159,44.76,0.0
2012-01-05 03:00:00,10.39,2.153,47.34,0.0
2012-01-05 04:00:00,11.4,2.822,48.82,0.0
2012-01-05 05:00:00,10.79,3.233,49.23,0.0
2012-01-05 06:00:00,11.6,3.282,51.26,0.0
2012-01-05 07:00:00,10.99,3.029,51.06,0.0
2012-01-05 08:00:00,11.4,2.172,50.31,3.6027777778
2012-01-05 09:00:00,11.94,1.601,49.23,29.5555555556
2012-01-05 10:00:00,13.43,3.407,48.07,73.7777777778
2012-01-05 11:00:00,12.94,5.172,45.82,149.4722222222
2012-01-05 12:00:00,12.8,4.221,51.52,120.75
2012-01-05 13:00:00,13.21,4.251,51.25,98.0833333333
2012-01-05 14:00:00,14.09,4.171,47.59,166.9166666667
2012-01-05 15:00:00,15.1,3.566,51.91,136.9444444444
2012-01-05 16:00:00,14.29,3.611,48.93,73.7222222222
2012-01-05 17:00:00,14.08,6.129,51.78,4.8805555556
2012-01-05 18:00:00,21.67,0.47,48.4,34.4444444444
2012-01-05 19:00:00,15.1,4.657,45.55,0.0
2012-01-05 20:00:00,14.97,4.165,45.54,0.0
2012-01-05 21:00:00,14.56,4.973,41.55,0.0
2012-01-05 22:00:00,13.69,4.558,42.43,0.0
2012-01-05 23:00:00,14.3,4.816,39.93,0.0
2012-01-06 00:00:00,12.87,4.689,36.94,0.0
2012-01-06 01:00:00,12.2,2.284,33.02,0.0
2012-01-06 02:00:00,11.74,2.045,30.11,0.0
2012-01-06 03:00:00,10.72,1.915,32.48,0.0
2012-01-06 04:00:00,10.18,1.911,37.5,0.0
2012-01-06 05:00:00,9.65,2.118,40.49,0.0
2012-01-06 06:00:00,9.58,2.918,42.39,0.0
2012-01-06 07:00:00,9.31,2.211,45.24,0.0
2012-01-06 08:00:00,9.58,1.945,41.51,15.0083333333
2012-01-06 09:00:00,10.87,2.627,38.66,91.8333333333
2012-01-06 10:00:00,11.74,2.757,37.43,252.5
2012-01-06 11:00:00,12.41,2.828,30.78,326.1111111111
2012-01-06 12:00:00,13.08,2.907,28.4,438.0555555556
2012-01-06 13:00:00,13.61,3.095,25.35,441.1111111111
2012-01-06 14:00:00,13.19,2.386,26.16,326.9444444444
2012-01-06 15:00:00,12.25,2.892,28.06,198.3333333333
2012-01-06 16:00:00,11.31,2.369,27.05,72.0
2012-01-06 17:00:00,9.77,1.275,30.99,0.3972222222
2012-01-06 18:00:00,9.64,1.358,30.52,0.0
2012-01-06 19:00:00,8.77,1.382,33.92,0.0
2012-01-06 20:00:00,7.82,1.284,37.99,0.0
2012-01-06 21:00:00,7.62,1.452,39.14,0.0
2012-01-06 22:00:00,7.7,1.51,39.36,0.0
2012-01-06 23:00:00,7.5,1.918,41.26,0.0
2012-01-07 00:00:00,7.29,2.163,44.99,0.0
2012-01-07 01:00:00,7.57,2.6,40.03,0.0
2012-01-07 02:00:00,7.23,2.545,43.9,0.0
2012-01-07 03:00:00,7.02,2.53,44.04,0.0
2012-01-07 04:00:00,6.751,1.586,43.16,0.0
2012-01-07 05:00:00,5.394,0.666,45.19,0.0
2012-01-07 06:00:00,6.426,1.302,44.66,0.0
2012-01-07 07:00:00,6.82,2.152,45.06,0.0
2012-01-07 08:00:00,7.7,2.564,47.5,12.2055555556
2012-01-07 09:00:00,9.6,3.052,46.68,91.3888888889
2012-01-07 10:00:00,10.67,3.167,41.78,278.3333333333
2012-01-07 11:00:00,13.03,3.176,42.31,381.3888888889
2012-01-07 12:00:00,14.03,2.933,40.2,430.5555555556
2012-01-07 13:00:00,13.2,3.387,40.19,408.6111111111
2012-01-07 14:00:00,13.06,3.302,48.38,341.9444444444
2012-01-07 15:00:00,12.72,3.333,44.25,239.1666666667
2012-01-07 16:00:00,11.91,3.653,47.98,75.75
2012-01-07 17:00:00,11.65,2.892,47.65,1.7444444444
2012-01-07 18:00:00,11.05,2.88,53.15,0.0
2012-01-07 19:00:00,11.13,2.437,50.92,0.0
2012-01-07 20:00:00,11.47,2.075,54.79,0.0
2012-01-07 21:00:00,11.13,2.109,50.38,0.0
2012-01-07 22:00:00,11.4,1.848,50.52,0.0
2012-01-07 23:00:00,11.6,1.531,53.57,0.0
2012-01-08 00:00:00,8.83,0.207,58.6,0.0
2012-01-08 01:00:00,11.55,0.939,53.32,0.0
2012-01-08 02:00:00,10.87,0.536,53.32,0.0
2012-01-08 03:00:00,8.63,0.272,57.52,0.0
2012-01-08 04:00:00,6.805,0.038,66.34,0.0
2012-01-08 05:00:00,7.09,0.095,65.48,0.0
2012-01-08 06:00:00,6.412,0.09,66.77,0.0
2012-01-08 07:00:00,6.751,0.039,72.8,0.0
2012-01-08 08:00:00,6.412,0.06,68.87,12.6472222222
2012-01-08 09:00:00,11.7,0.314,50.01,93.6111111111
2012-01-08 10:00:00,14.39,0.607,38.79,299.4444444444
2012-01-08 11:00:00,14.09,2.19,34.84,361.1111111111
2012-01-08 12:00:00,14.9,3.083,40.05,427.2222222222
2012-01-08 13:00:00,15.16,2.964,34.49,378.6111111111
2012-01-08 14:00:00,14.21,3.334,34.83,339.4444444444
2012-01-08 15:00:00,13.67,3.325,40.18,221.9444444444
2012-01-08 16:00:00,12.72,2.67,43.3,76.8333333333
2012-01-08 17:00:00,11.24,2.49,44.94,1.7888888889
2012-01-08 18:00:00,11.26,2.104,49.16,0.0
2012-01-08 19:00:00,9.84,1.245,47.67,0.0
2012-01-08 20:00:00,9.78,1.006,47.14,0.0
2012-01-08 21:00:00,8.5,0.944,47.07,0.0
2012-01-08 22:00:00,8.5,0.722,47.75,0.0
2012-01-08 23:00:00,8.09,0.815,49.99,0.0
2012-01-09 00:00:00,8.04,0.854,50.35,0.0
2012-01-09 01:00:00,7.84,0.656,51.16,0.0
2012-01-09 02:00:00,6.684,0.624,55.5,0.0
2012-01-09 03:00:00,7.16,0.706,54.96,0.0
2012-01-09 04:00:00,6.548,0.544,53.54,0.0
2012-01-09 05:00:00,5.394,0.427,60.87,0.0
2012-01-09 06:00:00,6.966,1.01,54.02,0.0
2012-01-09 07:00:00,5.804,0.7,58.49,0.0
2012-01-09 08:00:00,7.03,1.006,53.34,12.2722222222
2012-01-09 09:00:00,8.52,1.723,45.87,94.3888888889
2012-01-09 10:00:00,10.74,1.179,36.97,276.9444444444
2012-01-09 11:00:00,12.48,1.489,36.82,377.2222222222
2012-01-09 12:00:00,14.29,1.297,30.91,420.8333333333
2012-01-09 13:00:00,15.29,1.059,25.95,405.2777777778
2012-01-09 14:00:00,15.69,1.123,25.14,335.8333333333
2012-01-09 15:00:00,15.07,1.012,26.22,219.1666666667
2012-01-09 16:00:00,13.05,0.668,29.68,74.1111111111
2012-01-09 17:00:00,10.02,0.304,38.64,1.1916666667
2012-01-09 18:00:00,8.42,0.218,47.2,0.0
2012-01-09 19:00:00,7.01,0.193,52.16,0.0
2012-01-09 20:00:00,7.5,0.529,52.65,0.0
2012-01-09 21:00:00,5.734,0.232,59.03,0.0
2012-01-09 22:00:00,4.989,0.129,62.97,0.0
2012-01-09 23:00:00,4.188,0.065,68.35,0.0
2012-01-10 00:00:00,3.238,0.0,69.85,0.0
2012-01-10 01:00:00,3.849,0.014,68.08,0.0
2012-01-10 02:00:00,4.052,0.039,65.37,0.0
2012-01-10 03:00:00,3.102,0.075,70.6,0.0
2012-01-10 04:00:00,3.178,0.074,74.4,0.0
2012-01-10 05:00:00,5.211,0.328,64.29,0.0
2012-01-10 06:00:00,5.003,0.281,65.37,0.0
2012-01-10 07:00:00,3.781,0.436,67.95,0.0
2012-01-10 08:00:00,5.817,0.637,58.1,13.6027777778
2012-01-10 09:00:00,9.75,0.867,49.68,98.1111111111
2012-01-10 10:00:00,12.3,0.874,37.17,277.5
2012-01-10 11:00:00,14.38,1.223,32.68,381.6666666667
2012-01-10 12:00:00,15.57,1.111,29.68,420.8333333333
2012-01-10 13:00:00,15.69,1.386,29.95,408.8888888889
2012-01-10 14:00:00,16.56,1.422,25.61,341.6666666667
2012-01-10 15:00:00,16.97,0.8,27.03,222.2222222222
2012-01-10 16:00:00,14.87,0.391,34.82,75.5277777778
2012-01-10 17:00:00,10.76,0.196,51.31,1.2361111111
2012-01-10 18:00:00,9.02,0.424,52.35,0.0
2012-01-10 19:00:00,7.75,0.14,61.93,0.0
2012-01-10 20:00:00,6.407,0.031,69.07,0.0
2012-01-10 21:00:00,4.987,0.022,70.6,0.0
2012-01-10 22:00:00,5.94,0.061,67.72,0.0
2012-01-10 23:00:00,4.864,0.054,67.13,0.0
2012-01-11 00:00:00,7.11,0.158,62.04,0.0
2012-01-11 01:00:00,7.5,0.616,61.61,0.0
2012-01-11 02:00:00,7.77,0.576,61.68,0.0
2012-01-11 03:00:00,7.84,0.891,61.27,0.0
2012-01-11 04:00:00,6.955,0.459,62.9,0.0
2012-01-11 05:00:00,5.666,0.232,68.13,0.0
2012-01-11 06:00:00,4.187,0.054,71.7,0.0
2012-01-11 07:00:00,4.052,0.032,72.8,0.0
2012-01-11 08:00:00,4.867,0.022,75.6,14.4666666667
2012-01-11 09:00:00,7.58,0.396,60.27,98.0833333333
2012-01-11 10:00:00,10.07,0.821,50.62,264.4444444444
2012-01-11 11:00:00,10.87,1.153,52.83,219.4444444444
2012-01-11 12:00:00,12.07,0.859,52.54,328.8888888889
2012-01-11 13:00:00,11.52,0.81,53.21,206.9444444444
2012-01-11 14:00:00,11.79,0.43,53.62,167.3611111111
2012-01-11 15:00:00,11.52,0.481,54.91,118.3888888889
2012-01-11 16:00:00,10.91,0.651,59.24,76.0
2012-01-11 17:00:00,9.02,0.229,71.5,1.6111111111
2012-01-11 18:00:00,6.735,0.07,74.6,0.0
2012-01-11 19:00:00,5.867,0.0,79.7,0.0
2012-01-11 20:00:00,5.123,0.001,80.9,0.0
2012-01-11 21:00:00,4.243,0.0,82.1,0.0
2012-01-11 22:00:00,3.713,0.0,83.2,0.0
2012-01-11 23:00:00,3.645,0.005,85.0,0.0
2012-01-12 00:00:00,3.577,0.0,86.5,0.0
2012-01-12 01:00:00,2.966,0.0,86.7,0.0
2012-01-12 02:00:00,2.904,0.0,86.1,0.0
2012-01-12 03:00:00,2.091,0.0,86.6,0.0
2012-01-12 04:00:00,1.691,0.0,85.8,0.0
2012-01-12 05:00:00,1.147,0.0,87.7,0.0
2012-01-12 06:00:00,0.876,0.001,87.7,0.0
2012-01-12 07:00:00,0.604,0.0,87.1,0.0
2012-01-12 08:00:00,1.283,0.003,88.3,12.3472222222
2012-01-12 09:00:00,2.777,0.004,85.1,69.1111111111
2012-01-12 10:00:00,5.411,0.004,78.3,160.1388888889
2012-01-12 11:00:00,7.97,0.375,63.24,348.0555555556
2012-01-12 12:00:00,10.66,0.686,53.78,401.9444444444
2012-01-12 13:00:00,10.98,1.006,51.11,393.0555555556
2012-01-12 14:00:00,10.43,1.393,54.77,322.2222222222
2012-01-12 15:00:00,9.62,1.398,58.29,208.6111111111
2012-01-12 16:00:00,8.33,0.882,65.35,71.8055555556
2012-01-12 17:00:00,6.251,0.176,73.1,3.4666666667
2012-01-12 18:00:00,5.252,0.106,79.4,0.0
2012-01-12 19:00:00,4.444,0.005,81.6,0.0
2012-01-12 20:00:00,3.981,0.0,82.6,0.0
2012-01-12 21:00:00,3.373,0.004,83.8,0.0
2012-01-12 22:00:00,2.491,0.0,84.2,0.0
2012-01-12 23:00:00,2.288,0.0,85.3,0.0
2012-01-13 00:00:00,1.961,0.0,87.0,0.0
2012-01-13 01:00:00,1.147,0.0,87.7,0.0
2012-01-13 02:00:00,0.876,0.0,85.4,0.0
2012-01-13 03:00:00,0.468,0.003,87.9,0.0
2012-01-13 04:00:00,0.129,0.0,88.4,0.0
2012-01-13 05:00:00,-0.278,0.0,87.2,0.0
2012-01-13 06:00:00,0.07,0.006,86.8,0.0
2012-01-13 07:00:00,-0.335,0.0,86.1,0.0
2012-01-13 08:00:00,1.429,0.0,86.2,17.7916666667
2012-01-13 09:00:00,3.796,0.093,83.0,89.25
2012-01-13 10:00:00,6.294,0.725,61.7,266.1111111111
2012-01-13 11:00:00,9.59,1.178,50.48,389.4444444444
2012-01-13 12:00:00,11.87,0.715,43.26,429.1666666667
2012-01-13 13:00:00,13.41,1.115,33.48,418.3333333333
2012-01-13 14:00:00,14.89,1.132,30.22,350.5555555556
2012-01-13 15:00:00,14.95,1.116,31.84,230.5555555556
2012-01-13 16:00:00,13.26,0.678,38.49,84.3333333333
2012-01-13 17:00:00,10.5,0.59,47.72,2.8027777778
2012-01-13 18:00:00,8.08,0.633,60.96,0.0
2012-01-13 19:00:00,6.871,0.819,62.27,0.0
2012-01-13 20:00:00,5.393,0.277,68.12,0.0
2012-01-13 21:00:00,4.987,0.59,66.29,0.0
2012-01-13 22:00:00,3.984,0.502,69.1,0.0
2012-01-13 23:00:00,3.034,0.481,69.23,0.0
2012-01-14 00:00:00,3.173,0.411,66.93,0.0
2012-01-14 01:00:00,2.978,0.324,67.22,0.0
2012-01-14 02:00:00,0.604,0.098,73.1,0.0
2012-01-14 03:00:00,0.129,0.085,76.5,0.0
2012-01-14 04:00:00,-0.272,0.055,78.9,0.0
2012-01-14 05:00:00,-0.74,0.043,78.1,0.0
2012-01-14 06:00:00,0.211,0.041,70.8,0.0
2012-01-14 07:00:00,0.278,0.198,61.67,0.0
2012-01-14 08:00:00,1.767,0.765,53.24,12.7916666667
2012-01-14 09:00:00,5.018,1.222,45.56,92.0555555556
2012-01-14 10:00:00,7.38,1.396,37.67,263.8888888889
2012-01-14 11:00:00,8.84,1.53,32.63,384.1666666667
2012-01-14 12:00:00,9.91,1.287,28.89,426.9444444444
