,target_id,reservoir_id,dataset_id,benchmark,narma_n,test_score,train_mean,train_std,cv_mean,cv_std
0,input_air_temperature,state__An,NEMA_combined,NARMA,2,-0.3383783919354223,-0.305327709903085,0.00745778709417539,-1.040077891271272,0.7867437324770415
1,input_air_temperature,state__An,NEMA_combined,NARMA,5,-0.37558376253736875,-0.34453335034857824,0.008242039592752368,-1.4058868069320263,1.2500424718116718
2,input_air_temperature,state__An,NEMA_combined,NARMA,10,-0.4265037848267215,-0.3669108366394046,0.008532523528545216,-2.534415319834433,3.3824521349052827
3,input_air_temperature,state__An,NEMA_combined,NARMA,20,-0.4478354682427825,-0.31228781829221125,0.00994207660767554,-3.8979815985421618,6.643709739744685
4,input_air_temperature,state__An,NEMA_combined,NARMA,50,-0.4243405055328602,-0.29009074363162807,0.008176095026093892,-1.7912878501201295,1.8008242682735613
5,input_air_temperature,state__An,NEMA_combined,NARMA,100,-0.3782011606125844,-0.29951088288621913,0.008790562036780749,-1.395674603276738,1.394170149730906
6,input_air_temperature,state__Transpiration,NEMA_combined,NARMA,2,-0.42304278648461946,-0.30949548096972046,0.018340510781571007,-1.2255133905518814,1.0432394040594757
7,input_air_temperature,state__Transpiration,NEMA_combined,NARMA,5,-0.46991057085941706,-0.3576142420942238,0.02167127557389105,-1.5400594005559711,1.291637882885777
8,input_air_temperature,state__Transpiration,NEMA_combined,NARMA,10,-0.5063961313805281,-0.4114222692861712,0.024395740450007947,-2.753120699434701,3.1741502555191916
9,input_air_temperature,state__Transpiration,NEMA_combined,NARMA,20,-0.44275690165692,-0.43493417316289473,0.021447808219504906,-6.949357932712948,11.592993849971064
10,input_air_temperature,state__Transpiration,NEMA_combined,NARMA,50,-0.4092069837433927,-0.3567288548970188,0.02111692124403491,-2.2627100026749076,2.5170591980078516
11,input_air_temperature,state__Transpiration,NEMA_combined,NARMA,100,-0.4080287074784728,-0.3422998647769008,0.01693264053651221,-1.7126557014310588,1.9308461883583106
